helper	selector	large	medium	small	tiny	huge
__adddf3	0	776	776	776	776	776
__subdf3	1	778	778	778	778	778
__muldf3	2	690	690	716	716	790
__divdf3	3	654	654	682	682	736
__ledf2	4	168	168	168	168	168
__gedf2	5	168	168	168	168	168
__unorddf2	6	80	80	80	80	80
__floatsisf	7	144	144	144	144	144
__floatunsisf	8	112	112	112	112	112
__addsf3	9	452	452	452	452	452
__subsf3	10	454	454	454	454	454
__mulsf3	11	352	352	352	352	352
__divsf3	12	298	298	298	298	298
__c166_cmpdf2	13	132	132	132	132	132
__truncdfsf2	14	200	200	200	200	200
__extendsfdf2	15	114	114	114	114	114
__fixdfsi	16	178	178	178	178	178
__c166_floatsidf	17	132	132	132	132	132
__c166_floatunsidf	18	106	106	106	106	106
__fixunsdfsi	19	140	140	140	140	140
__fixunssfsi	20	108	108	108	108	108
__divsi3	21	174	174	174	174	174
__modsi3	22	146	146	146	146	146
__udivsi3	23	104	104	104	104	104
__lesf2	24	106	106	106	106	106
__gesf2	25	108	108	108	108	108
__floatsidf	26	142	142	142	142	188
__floatunsidf	27	114	114	114	114	162
__fixsfsi	28	130	130	130	130	130
__umodsi3	29	82	82	82	82	82
__atomic_exchange	30	58	58	36	36	66
__c166_atomic_rmw	31	314	314	240	240	330
memmove	32	68	68	48	48	92
__ashlsi3	33	30	30	30	30	30
__ashrsi3	34	32	32	32	32	32
__lshrsi3	35	34	34	34	34	34
fp-corpus	36	3276	3276	3330	3330	3552
__ashldi3	37	220	220	218	218	264
__ashrdi3	38	262	262	260	260	326
__lshrdi3	39	214	214	212	212	280
__muldi3	40	236	236	234	234	266
__divdi3	41	2074	2074	1976	1976	2322
__udivdi3	42	1238	1238	1248	1248	1426
__moddi3	43	2106	2106	1996	1996	2366
__umoddi3	44	1100	1100	1124	1124	1248
__fixsfdi	45	810	810	808	808	934
__fixdfdi	46	1030	1030	1026	1026	1244
__fixunssfdi	47	386	386	384	384	482
__fixunsdfdi	48	610	610	608	608	770
__floatdisf	49	888	888	892	892	998
__floatdidf	50	906	906	908	908	992
__floatundisf	51	834	834	838	838	944
__floatundidf	52	796	796	794	794	896
